OBJECTID,MXLOCATION,designvolt,status,description,type,Symbol,GlobalID,Shape__Length
105,KAI-SBK-A,66,COMMISSIONED,Kaiapoi - Southbrook A,TRANSLINE,66 TRANSLINE,01cd8571-35de-4261-9678-b664b3d81a09,6753.79734442123
107,KAW-DEV-A,220,COMMISSIONED,Kawerau - Deviation A,TRANSLINE,220 TRANSLINE,6ecc6bce-c4d3-4818-bb72-a1a32b9b5229,8933.58669360782
108,KBY-TEE-A,66,COMMISSIONED,Kimberley - Tee A,TRANSLINE,66 TRANSLINE,2bac87ea-f114-4394-bda4-cdb44d047cff,1390.19311419145
109,KIK-STK-A,220,COMMISSIONED,Kikiwa - Stoke A,TRANSLINE,220 TRANSLINE,34901362-ab31-43c8-b408-ef7cef9a1ab9,53390.8950849931
110,KIK-STK-B,110,COMMISSIONED,Kikiwa - Stoke B,TRANSLINE,110 TRANSLINE,63626416-976a-4bee-9abe-19c9540faa1b,53074.2898982984
111,KIN-DEV-A,110,COMMISSIONED,Kinleith - Deviation A,TRANSLINE,110 TRANSLINE,313f32a7-ea5d-4926-9ed4-f94e771f33da,23033.8950386655
112,KOE-MPE-A,110,COMMISSIONED,Kaikohe - Maungatapere A,TRANSLINE,110 TRANSLINE,1289bca9-e703-4a6d-99c3-7170b7b69c43,56468.8254666252
113,KPO-TMU-A,110,COMMISSIONED,Karapiro - Te Awamutu A,TRANSLINE,110 TRANSLINE,4e832d6d-8d1c-44be-b161-b6b92eaea583,22277.670225802
114,LCH-KIN-A,110,COMMISSIONED,Lichfield - Kinleith A,TRANSLINE,110 TRANSLINE,506fec35-9505-4e3e-b267-001cd11066d9,19227.4640177542
115,LCH-KIN-B,110,COMMISSIONED,Lichfield - Kinleith B,TRANSLINE,110 TRANSLINE,363d1406-2ac2-499f-9694-097bbb4981e8,22398.7755785369
116,MAN-TWI-A,220,COMMISSIONED,Manapouri - Tiwai A,TRANSLINE,220 TRANSLINE,5b7fa01b-793e-469a-844a-ffb1f7c392c9,171415.681726564
117,MDN-MPE-A,110,COMMISSIONED,Marsden - Maungatapere A,TRANSLINE,110 TRANSLINE,9ecc1915-881f-4efc-a7f0-e1c72260156c,29289.4405971627
118,MER-TAK-A,110,COMMISSIONED,Meremere - Takanini A,TRANSLINE,110 TRANSLINE,d19264e2-8cd8-4ddb-b8bf-29cb829208f3,15609.4949006882
122,MNI-DEV-A,110,COMMISSIONED,Motunui - Deviation A,TRANSLINE,110 TRANSLINE,3beace3d-0ba1-4649-a476-0ce1fb271850,25095.4422123495
123,MST-UHT-A,110,COMMISSIONED,Masterton - Upper Hutt A,TRANSLINE,110 TRANSLINE,3d90ce1c-65b3-48c2-8ca9-3ccd1ba4906c,54546.0116495105
124,MTI-WKM-A,220,COMMISSIONED,Maraetai - Whakamaru A,TRANSLINE,220 TRANSLINE,5dd5f6f5-2e37-4643-8a01-c1c07cea452d,9261.06773221723
125,MTI-WKM-B,220,COMMISSIONED,Maraetai - Whakamaru B,TRANSLINE,220 TRANSLINE,41e53fc8-a695-4afc-9536-e48645b98122,9282.6032043683
126,MTI-WPA-A,220,COMMISSIONED,Maraetai - Waipapa A,TRANSLINE,220 TRANSLINE,faabaf4c-67f1-4eb0-a01e-75c825643c94,10338.9966703278
127,NMA-TMH-A,220,COMMISSIONED,North Makarewa - Three Mile Hill A,TRANSLINE,220 TRANSLINE,7fd20dc3-3a4c-4b60-bbad-9859405ec8da,198809.866080121
